African	Phi
mass	khối lượng
massive	đồ sộ
master	bậc thầy
match	phù hợp
material	tài liệu
math	toán
matter	vấn đề
may	có thể
maybe	có
mayor	thị trưởng
me	tôi
meal	bữa ăn
mean	trung bình
meaning	ý nghĩa
meanwhile	khi đó
measure	biện pháp
measurement	đo lường
meat	thịt
mechanism	cơ chế
media	truyền thông
medical	y tế
medication	thuốc
medicine	y học
medium	vừa
meet	đáp ứng
meeting	cuộc họp
member	thành viên
membership	thành viên
memory	nhớ
mental	tinh thần
mention	đề cập
menu	trình đơn
mere	đơn thuần
merely	chỉ là
mess	mớ hỗn độn
message	nhắn
metal	kim loại
meter	mét
method	phương pháp
middle	giữa
might	có thể
military	quân
milk	sữa
million	triệu
mind	tâm trí
mine	tôi
minister	tướng
minor	nhỏ
minority	thiểu số
minute	phút
miracle	kỳ diệu
mirror	gương
miss	bỏ lỡ
missile	tên lửa
mission	sứ mệnh
mistake	sai lầm
mix	trộn
mixture	hỗn hợp
mm-hmm	mm-hmm
mode	chế độ
model	mô hình
moderate	vừa
modern	hiện đại
modest	vừa phải
mom	mẹ
moment	lúc
money	tiền
monitor	monitor
month	tháng
mood	tâm trạng
moon	trăng
moral	đạo đức
more	hơn
moreover	hơn nữa
morning	buổi sáng
mortgage	thế chấp
most	hầu hết
mostly	chủ yếu là
mother	mẹ
motion	chuyển động
motivation	động cơ
motor	động cơ
mount	gắn kết
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển
movement	phong trào
movie	phim
much	nhiều
multiple	nhiều
murder	vụ giết người
muscle	cơ
museum	bảo tàng
music	âm nhạc
musical	âm nhạc
musician	nhạc sĩ
must	phải
mutual	chung
my	tôi
myself	bản thân mình
mystery	bí ẩn
myth	huyền thoại
n't	không
naked	trần truồng
name	tên
narrative	tường thuật
narrow	hẹp
nation	quốc gia
national	dân tộc
native	có nguồn gốc
natural	tự nhiên
naturally	một cách tự nhiên
nature	thiên nhiên
near	gần
nearby	lân cận
nearly	gần
necessarily	nhất thiết
necessary	cần thiết
neck	cổ
need	nhu cầu
negative	tiêu cực
negotiate	đàm phán
negotiation	thương lượng
neighbor	hàng xóm
neighborhood	khu phố
neither	không phải
nerve	thần kinh
nervous	căng thẳng
net	ròng
network	mạng
never	không bao giờ
nevertheless	vẫn
new	mới
newly	vừa được
news	tin tức
newspaper	báo
next	tiếp theo
nice	thoải mái
night	đêm
nine	chín
no	không
nobody	ai
nod	gật
noise	tiếng ồn
nomination	đề cử
none	none
nonetheless	dù sao
nor	cũng không
normal	bình thường
normally	thường
north	bắc
northern	bắc
nose	mũi
not	không
note	lưu ý
nothing	gì
notice	thông báo
notion	khái niệm
novel	tiểu thuyết
now	hiện nay
nowhere	không nơi nào
nuclear	hạt nhân
number	số
numerous	rất nhiều
nurse	y tá
nut	hạt
object	đối tượng
objective	mục tiêu
obligation	nghĩa vụ
observation	quan sát
observe	quan sát
observer	quan sát
obtain	được
obvious	rõ ràng
obviously	rõ ràng là
occasion	dịp
occasionally	thỉnh thoảng
occupation	chiếm đóng
occupy	chiếm
occur	xảy ra
ocean	đại dương
odd	lẻ
odds	tỷ lệ cược
of	của
off	tắt
offense	hành vi phạm tội
offensive	tấn công
offer	phục vụ
office	văn phòng
officer	sĩ quan
official	chính thức
often	thường
oh	oh
oil	dầu
ok	ok
okay	ổn
old	cũ
on	trên
once	một lần
one	một
ongoing	liên tục
onion	hành
online	trực tuyến
only	chỉ
onto	vào
open	mở
opening	mở
operate	hoạt động
operating	điều hành
operation	hoạt động
operator	khai thác
opinion	quan điểm
opponent	đối thủ
opportunity	cơ hội
oppose	phản đối
opposite	ngược lại
opposition	đối lập
option	tùy chọn
or	hoặc
orange	cam
order	trật tự
ordinary	bình thường
organic	hữu
organization	tổ chức
organize	tổ chức
orientation	định hướng
origin	nguồn gốc
original	ban đầu
originally	ban đầu
other	khác
others	khác
otherwise	khác
ought	nên
our	chúng tôi
ourselves	chính mình
out	ra
outcome	kết quả
outside	bên ngoài
oven	lò
over	trên
overall	tổng thể
overcome	vượt qua
overlook	Overlook
owe	nợ
own	riêng
owner	chủ sở hữu
pace	tốc độ
pack	gói
package	gói
page	trang
pain	đau
painful	đau đớn
paint	sơn
painter	họa sĩ
painting	vẽ
pair	cặp
pale	nhạt
palm	cọ
pan	chảo
panel	panel
pant	quần
paper	giấy
parent	mẹ
park	công viên
parking	bãi đậu xe
part	phần
participant	người tham gia
participate	tham gia
participation	sự tham gia
particular	đặc biệt
particularly	đặc biệt là
partly	một phần
partner	đối tác
partnership	hợp tác
party	bên
pass	vượt qua
passage	đoạn
passenger	hành khách
passion	niềm đam mê
past	quá khứ
patch	vá
path	con đường
patient	kiên nhẫn
pattern	mẫu
pause	tạm dừng
pay	chi trả
payment	thanh toán
peace	hòa bình
peak	đỉnh
peer	ngang
penalty	phạt
people	người
pepper	tiêu
per	mỗi
perceive	Nhận thức
percentage	tỷ lệ
perception	nhận thức
perfect	hoàn hảo
perfectly	hoàn toàn
perform	thực hiện
performance	hiệu suất
perhaps	có lẽ
period	khoảng thời gian
permanent	vĩnh viễn
permission	giấy phép
permit	giấy phép
person	người
personal	cá nhân
personality	tính cách
personally	cá nhân
personnel	cán bộ
perspective	quan điểm
persuade	thuyết phục
pet	thú cưng
phase	giai đoạn
phenomenon	hiện tượng
philosophy	triết lý
phone	điện thoại
photo	ảnh
photograph	bức ảnh
photographer	nhiếp ảnh
phrase	cụm từ
physical	thể chất
physically	vật lý
physician	bác sĩ
piano	dương cầm
pick	chọn
picture	hình ảnh
pie	chiếc bánh
piece	mảnh
pile	đống
pilot	thí điểm
pine	thông
pink	hồng
pipe	ống
pitch	sân
place	nơi
plan	kế hoạch
plane	máy bay
planet	hành tinh
planning	kế hoạch
plant	Nhà máy
plastic	nhựa
plate	tấm
platform	nền tảng
play	chơi
player	máy nghe nhạc
please	vừa lòng
pleasure	niềm vui
plenty	rất nhiều
plot	âm mưu
plus	cộng
pocket	túi
poem	thơ
poet	thơ
poetry	thơ
point	điểm
pole	cực
police	cảnh sát
policy	chính sách
political	chính trị
politically	chính trị
politician	chính trị
politics	chính trị
poll	bình chọn
pollution	ô nhiễm
pool	hồ bơi
poor	nghèo
pop	pop
popular	phổ biến
population	dân số
porch	hiên
port	cổng
portion	phần
portrait	chân dung
portray	miêu tả
pose	tư thế
position	vị trí
positive	tích cực
possess	có
possibility	khả năng
possible	có thể
possibly	có thể
post	bài
pot	nồi
potato	khoai
potential	tiềm năng
potentially	có khả năng
pound	cân
pour	đổ
poverty	nghèo
powder	bột
power	năng lượng
powerful	mạnh mẽ
practical	thực tế
practice	thực hành
pray	cầu nguyện
prayer	cầu nguyện
precisely	một cách chính xác
predict	dự đoán
prefer	thích
preference	thích
pregnancy	khi mang thai
pregnant	mang thai
preparation	chuẩn bị
prepare	chuẩn bị
prescription	theo toa
presence	có mặt
present	hiện nay
presentation	trình bày
preserve	giữ gìn
president	chủ tịch
presidential	tổng thống
press	báo
pressure	áp lực
pretend	giả vờ
pretty	khá
prevent	ngăn chặn
previous	trước
previously	trước
price	giá
pride	hãnh diện
priest	linh mục
primarily	chủ yếu
primary	chính
prime	Thủ
principal	chủ yếu
principle	nguyên tắc
print	in
prior	trước
priority	ưu tiên
prison	tù
prisoner	tù nhân
privacy	riêng tư
private	cá nhân
probably	có thể là
problem	vấn đề
procedure	thủ tục
proceed	tiến hành
process	quá trình
produce	sản
producer	sản xuất
product	sản phẩm
production	sản xuất
profession	nghề
professional	chuyên nghiệp
professor	giáo sư
profile	hồ sơ
profit	lợi nhuận
program	chương trình
progress	tiến
project	dự án
prominent	nổi bật
promise	hứa hẹn
promote	thúc đẩy
prompt	nhanh chóng
proof	bằng chứng
proper	thích hợp
properly	đúng cách
property	sở hữu
proportion	tỷ lệ
proposal	đề nghị
propose	đề xuất việc
proposed	đề nghị
prosecutor	công tố viên
prospect	triển vọng
protect	bảo vệ
protection	bảo vệ
protein	protein
protest	phản đối
proud	tự hào
prove	chứng minh
provide	cung cấp
provider	cung cấp
province	tỉnh
provision	quy định
psychological	tâm lý
psychologist	nhà tâm lý học
psychology	tâm lý
public	nào
publication	công bố
publicly	công khai
publish	xuất bản
publisher	xuất bản
pull	kéo
punishment	trừng phạt
purchase	mua
pure	tinh khiết
purpose	mục đích
pursue	theo đuổi
push	đẩy
put	đưa
qualify	đủ tiêu chuẩn
quality	chất lượng
quarter	quý
quarterback	quarterback
question	câu hỏi
quick	nhanh chóng
quickly	một cách nhanh chóng
quiet	yên tĩnh
quietly	lặng lẽ
quit	bỏ
quite	khá
quote	trích dẫn
race	cuộc đua
racial	chủng tộc
radical	cực đoan
radio	phát thanh
rail	rail
rain	mưa
raise	tăng
range	phạm vi
rank	cấp bậc
rapid	nhanh chóng
rapidly	nhanh chóng
rare	hiếm
rarely	hiếm khi
rate	lãi suất
rather	thay vì
rating	rating
ratio	tỷ lệ
raw	thô
reach	tầm
react	phản ứng
reaction	phản ứng
read	đọc
reader	đọc
reading	đọc
ready	sẵn sàng
real	thực
reality	hiện thực
realize	nhận ra
really	thực sự
reason	lý do
reasonable	hợp lý
recall	thu hồi
receive	nhận được
recent	gần đây
recently	thời gian gần đây
recipe	công thức
recognition	công nhận
recognize	công nhận
recommend	đề nghị
recommendation	đề nghị
record	kỷ lục
recording	ghi âm
recover	phục hồi
recovery	phục hồi
recruit	tuyển dụng
red	màu đỏ
reduce	giảm
reduction	giảm
refer	tham khảo
reference	tài liệu tham khảo
reflect	phản ánh
reflection	phản ánh
reform	cải cách
refugee	tị nạn
refuse	rác
regard	liên quan
regarding	liên quan đến
regardless	bất kể
regime	chế độ
region	khu vực
regional	trong khu vực
register	đăng ký
regular	thường
regularly	xuyên
regulate	điều chỉnh
regulation	quy định
reinforce	củng cố
reject	từ chối
relate	liên
relation	quan
relationship	mối quan hệ
relative	tương đối
relatively	khá
relax	thư giãn
release	phát hành
relevant	liên quan
relief	cứu trợ
religion	tôn giáo
religious	tôn giáo
rely	dựa
remain	vẫn
remaining	còn
remarkable	đáng chú ý
remember	nhớ
remind	nhắc nhở
remote	từ xa
remove	remove
repeat	lặp lại
repeatedly	nhiều lần
replace	thay thế
reply	trả lời
report	báo cáo
reporter	phóng viên
represent	đại diện cho
representation	đại diện
representative	đại diện
reputation	uy tín
request	yêu cầu
require	đòi hỏi
requirement	yêu cầu
research	nghiên cứu
researcher	nghiên cứu
resemble	giống
reservation	phòng
resident	thường trú
resist	chống lại
resistance	kháng
resolution	nghị quyết
resolve	quyết tâm
resort	khu nghỉ mát
resource	tài nguyên
respect	liên quan
respond	đáp ứng
respondent	được phỏng vấn
response	trả lời
responsibility	trách nhiệm
responsible	chịu trách nhiệm
rest	phần còn lại
restaurant	nhà hàng
restore	khôi phục
restriction	hạn chế
result	kết quả
retain	giữ được
retire	nghỉ hưu
retirement	về hưu
return	trở lại
reveal	tiết lộ
revenue	doanh thu
review	tổng quan
revolution	cách mạng
rhythm	nhịp điệu
rice	gạo
rich	giàu
rid	thoát khỏi
ride	đi xe
rifle	súng
right	ngay
ring	chiếc nhẫn
rise	gia tăng
risk	nguy cơ
river	sông
road	đường
rock	đá
role	vai trò
roll	cuộn
romantic	lãng mạn
roof	mái
room	phòng
root	rễ
rope	dây
rose	tăng
rough	thô
roughly	xấp xỉ
round	tròn
route	đường
routine	thói quen
row	hàng
rub	chà
rule	quy tắc
run	chạy
running	chạy
rural	nông thôn
rush	đổ xô
sacred	thiêng liêng
sad	buồn
safe	an toàn
safety	an toàn
sake	vì lợi ích
salad	xà lách
salary	lương
sale	bán
sales	bán
salt	muối
same	cùng
sample	mẫu
sanction	xử phạt
sand	cát
satellite	vệ tinh
satisfaction	sự hài lòng
satisfy	thỏa mãn
sauce	sốt
save	tiết kiệm
saving	tiết kiệm
say	nói
scale	quy mô
scandal	scandal
scared	sợ
scenario	kịch bản
scene	cảnh
schedule	lịch
scheme	chương trình
scholar	học giả
scholarship	học bổng
school	học
science	khoa học
scientific	khoa học
scientist	khoa học
scope	phạm vi
score	điểm
scream	hét
screen	màn
script	kịch bản
sea	nước biển
search	tìm kiếm
season	mùa
seat	ghế
second	thứ hai
secret	bí mật
secretary	thư ký
section	phần
sector	ngành
secure	an toàn
security	an ninh
see	see
seed	hạt
seek	tìm kiếm sự
seem	dường như
segment	phân khúc
seize	nắm bắt
select	chọn
selection	lựa chọn
self	tự
sell	bán
senator	thượng nghị sĩ
send	gửi
senior	cao cấp
sense	cảm giác
sensitive	nhạy cảm
sentence	câu
separate	riêng biệt
sequence	chuỗi
series	loạt
serious	nghiêm trọng
seriously	nghiêm túc
serve	phục vụ
service	dịch vụ
session	phiên
set	thiết lập
setting	thiết lập
settle	settle
settlement	giải quyết
seven	Bảy
several	nhiều
severe	nghiêm trọng
sex	quan hệ tình dục
sexual	tình dục
shade	bóng râm
shadow	bóng
shake	rung
shall	trách nhiệm
shape	hình
share	phần
sharp	sắc nét
she	cô
sheet	tấm
shelf	kệ
shell	vỏ
shelter	nơi trú ẩn
shift	thay đổi
shine	sáng
ship	tàu
shirt	áo
shit	đi tiêu
shock	sốc
shoe	giày
shoot	chụp
shooting	chụp
shop	cửa hàng
shopping	mua sắm
shore	bờ
short	ngắn
shortly	thời gian ngắn
shot	bắn
should	nên
shoulder	gánh vác
shout	hét
show	chương trình
shower	tắm
shrug	nhún vai
shut	đóng
sick	ốm
side	bên
sigh	tiếng thở dài
sight	từ cái nhìn
sign	dấu hiệu
signal	tín hiệu
significance	có ý nghĩa
significant	quan trọng
significantly	đáng kể
silence	im lặng
silent	im lặng
silver	bạc
similar	tương tự
similarly	tương tự
simple	đơn giản
simply	chỉ đơn giản là
sin	phạm tội
since	kể từ
sing	Sing
singer	ca sĩ
single	đơn
sink	chìm
sir	thưa
sister	chị
sit	ngồi
site	tại chỗ
situation	tình hình
six	sáu
size	kích thước
ski	trượt tuyết
skill	skill
skin	da
sky	bầu trời
slave	nô lệ
sleep	ngủ
slice	lát
slide	trượt
slight	nhẹ
slightly	nhẹ
slip	trượt
slow	chậm
slowly	chậm
small	nhỏ
smart	thông minh
smell	mùi
smile	nụ cười
smoke	khói
smooth	mịn
snap	chụp
snow	tuyết
so	nên
so-called	cái gọi là
soccer	bóng đá
social	xã hội
society	xã hội
soft	mềm
software	phần mềm
soil	đất
solar	mặt trời
soldier	lính
solid	rắn
solution	giải pháp
solve	giải quyết
some	một số
somebody	ai đó
somehow	bằng cách nào đó
someone	một người nào đó
something	một cái gì đó
sometimes	đôi khi
somewhat	hơi
somewhere	đâu đó
son	con trai
song	ca khúc
soon	sớm
sophisticated	tinh vi
sorry	xin lỗi
sort	loại
soul	linh hồn
sound	âm thanh
soup	súp
source	nguồn
south	phía nam
southern	miền nam
space	không gian
speak	speak
speaker	loa
special	đặc biệt
specialist	chuyên
species	loài
specific	cụ thể
specifically	đặc biệt
speech	nói
speed	tốc độ
spend	chi tiêu
spending	dành
spin	xoáy
spirit	tinh thần
spiritual	tinh thần
split	chia
spokesman	phát ngôn viên
sport	thể thao
spot	tại chỗ
spread	lây lan
spring	mùa xuân
square	vuông
squeeze	bóp
stability	ổn định
stable	ổn định
staff	đội ngũ nhân viên
stage	giai đoạn
stair	cầu thang
stake	cổ phần
stand	đứng
standard	tiêu chuẩn
standing	đứng
star	sao
stare	Stare
start	bắt đầu
state	nhà nước
statement	tuyên bố
station	trạm
statistics	thống kê
status	tình trạng
stay	nghỉ
steady	ổn định
steal	ăn cắp
steel	thép
step	bước
stick	thanh
still	vẫn
stir	khuấy động
stock	cổ
stomach	dạ dày
stone	đá
stop	dừng
storage	lưu trữ
store	lưu trữ
storm	bão
story	câu chuyện
straight	thẳng
strange	lạ
stranger	lạ
strategic	chiến lược
strategy	chiến lược
stream	dòng
street	đường
strength	sức mạnh
strengthen	tăng cường
stress	căng thẳng
stretch	căng
strike	đình
string	chuỗi
strip	dải
stroke	đột quỵ
strong	mạnh
strongly	mạnh mẽ
structure	cơ cấu
struggle	đấu tranh
student	sinh viên
studio	xưởng
study	nghiên cứu
stuff	những thứ
stupid	ngu ngốc
style	kiểu
subject	đối tượng
submit	nộp
subsequent	tiếp theo
substance	chất
substantial	đáng kể
succeed	thành công
success	thành công
successful	thành công
successfully	thành công
such	như vậy
sudden	đột ngột
suddenly	bất ngờ
sue	Sue
suffer	bị
sufficient	đủ
sugar	đường
suggest	đề nghị
suggestion	gợi ý
suicide	tự tử
suit	phù hợp với
summer	mùa hè
summit	hội nghị thượng đỉnh
sun	mặt trời
super	siêu
supply	cung cấp
support	hỗ trợ
supporter	người ủng hộ
suppose	cho rằng
supposed	phải
sure	chắc chắn
surely	chắc chắn
surface	bề mặt
surgery	phẫu thuật
surprise	ngạc nhiên
surprised	bất ngờ
surprising	ngạc nhiên
surprisingly	đáng ngạc nhiên
surround	vòm
survey	khảo sát
survival	sự tồn tại
survive	sống sót
survivor	người sống sót
suspect	cho rằng
sustain	duy trì
swear	thề
sweep	quét
sweet	ngọt
swim	bơi
swing	xoay
switch	chuyển
symbol	biểu tượng
symptom	dấu hiệu
system	hệ thống
table	bảng
tablespoon	muỗng canh
tactic	chiến thuật
tail	đuôi
take	mất
tale	câu chuyện
talent	tài năng
talk	nói chuyện
tall	cao
tank	bể
tap	tap
tape	băng
target	mục tiêu
task	nhiệm vụ
taste	thị hiếu
tax	thuế
taxpayer	người nộp thuế
tea	trà
teach	dạy
teacher	giáo viên
teaching	giảng dạy
team	đội
tear	rách
teaspoon	muỗng cà phê
technical	kỹ thuật
technique	kỹ thuật
technology	công nghệ
teen	tuổi teen
teenager	thiếu niên
telephone	điện thoại
telescope	kính thiên văn
television	truyền hình
tell	nói
temperature	nhiệt độ
temporary	tạm
ten	mười
tend	xu hướng
tendency	xu hướng
tennis	quần vợt
tension	căng
tent	lều
term	hạn
terms	về
terrible	khủng khiếp
territory	lãnh thổ
terror	khủng bố
terrorism	khủng bố
terrorist	khủng bố
test	kiểm tra
testify	chứng
testimony	chứng
testing	thử nghiệm
text	văn bản
than	hơn
thank	cảm ơn
thanks	nhờ
that	đó
the	các
theater	nhà hát
their	của họ
them	họ
theme	theme
themselves	mình
then	thì
theory	lý thuyết
therapy	trị liệu
there	có
therefore	vì thế
these	những
they	họ
thick	dày
thin	mỏng
thing	điều
think	nghĩ
thinking	suy nghĩ
third	ba
thirty	ba mươi
this	này
those	những
though	mặc dù
thought	nghĩ
thousand	ngàn
threat	mối đe dọa
threaten	đe dọa
three	ba
throat	họng
through	qua
throughout	khắp
throw	ném
thus	do đó
ticket	vé
tie	tie
tight	chặt chẽ
time	thời gian
tiny	nhỏ
tip	mũi
tire	lốp
tired	mệt mỏi
tissue	mô
title	tiêu đề
to	để
tobacco	thuốc lá
today	ngày nay
toe	toe
together	cùng
tomato	cà chua
tomorrow	vào ngày mai
tone	giọng
tongue	lưỡi
tonight	tối nay
too	quá
tool	cụ
tooth	răng
top	đầu
topic	chủ đề
toss	tung
total	tổng
totally	hoàn toàn
touch	chạm
tough	khắc nghiệt
tour	tour du lịch
tourist	du lịch
tournament	giải đấu
toward	hướng
towards	về phía
tower	tháp
town	thị trấn
toy	đồ chơi
trace	trace
track	theo dõi
trade	thương mại
tradition	truyền thống
traditional	truyền thống
traffic	giao thông
tragedy	thảm kịch
trail	đường mòn
train	tàu
training	đào tạo
transfer	chuyển
transform	đổi
transformation	chuyển đổi
transition	chuyển
translate	dịch
transportation	vận chuyển
travel	đi
treat	điều trị
treatment	điều trị
treaty	ước
tree	cây
tremendous	to lớn
trend	xu hướng
trial	thử nghiệm
tribe	bộ tộc
trick	lừa
trip	chuyến đi
troop	quân
trouble	rắc rối
truck	xe tải
true	thật
truly	sự
trust	tin tưởng
truth	sự thật
try	thử
tube	ống
tunnel	đường hầm
turn	lần lượt
twelve	Mười hai
twenty	hai mươi
twice	hai lần
twin	sinh đôi
two	hai
type	loại
typical	điển hình
typically	thường
ugly	xấu xí
ultimate	cuối cùng
ultimately	cuối cùng
unable	không thể
uncle	chú
under	dưới
undergo	trải qua
understand	hiểu
understanding	hiểu
unfortunately	không may
uniform	đồng phục
union	công đoàn
unique	độc đáo
unit	đơn vị
universal	phổ quát
universe	vũ trụ
university	đại học
unknown	chưa biết
unless	trừ khi
unlike	không giống như
unlikely	khó xảy ra
until	cho đến khi
unusual	bất thường
up	lên
upon	khi
upper	trên
urban	thị
urge	thôi thúc
us	chúng tôi
use	sử dụng
used	sử dụng
useful	hữu ích
user	sử dụng
usual	thông thường
usually	thường
utility	tiện ích
vacation	nghỉ
valley	thung lũng
valuable	có giá trị
value	giá trị
variable	biến
variation	biến
variety	đa dạng
various	khác nhau
vary	khác nhau
vast	lớn
vegetable	rau
vehicle	xe
venture	liên
version	phiên bản
versus	so với
very	rất
vessel	tàu
veteran	kỳ cựu
via	qua
victim	nạn nhân
victory	chiến thắng
video	Video
view	xem
viewer	xem
village	làng
violate	vi phạm
violation	vi phạm
violence	bạo lực
violent	bạo lực
virtually	hầu như
virtue	đức
virus	vi-rút
visible	có thể nhìn thấy
vision	tầm nhìn
visit	lần
visitor	truy cập
visual	hình ảnh
vital	quan trọng
voice	giọng nói
volume	khối lượng
volunteer	tình nguyện viên
vote	bỏ phiếu
voter	cử tri
vs	vs
vulnerable	dễ bị tổn thương
wage	lương
wait	chờ
wake	trỗi dậy
walk	đi bộ
wall	tường
wander	đi lang thang
want	muốn
war	chiến tranh
warm	ấm áp
warn	cảnh báo
warning	cảnh báo
wash	rửa
waste	chất thải
watch	hồ
water	nước
wave	sóng
way	cách
we	chúng ta
weak	yếu
wealth	của cải
wealthy	giàu có
weapon	vũ khí
wear	mặc
weather	thời tiết
wedding	đám cưới
week	tuần
weekend	cuối tuần
weekly	hàng tuần
weigh	nặng
weight	cân
welcome	chào đón
welfare	phúc lợi
well	cũng
west	tây
western	tây
wet	ướt
what	gì
whatever	bất cứ điều gì
wheel	bánh xe
when	khi
whenever	bất cứ khi nào
where	mà
whereas	trong khi đó
whether	cho dù
which	đó
while	trong khi
whisper	thì thầm
white	trắng
who	ai
whole	cả
whom	mà
whose	mà
why	tại sao
wide	rộng
widely	rộng rãi
widespread	tràn lan
wife	vợ
wild	hoang dã
will	sẽ
willing	sẵn sàng
win	giành chiến thắng
wind	gió
window	cửa sổ
wine	rượu
wing	cánh
winner	chiến thắng
winter	mùa đông
wipe	lau
wire	dây
wisdom	trí tuệ
wise	khôn ngoan
wish	mong muốn
with	với
withdraw	rút
within	trong
without	mà không cần
witness	nhân chứng
woman	người phụ nữ
wonder	ngạc nhiên
wonderful	tuyệt vời
wood	gỗ
wooden	gỗ
word	từ
work	công việc
worker	người lao động
working	làm việc
works	các công trình
workshop	nhà xưởng
world	thế giới
worried	lo lắng
worry	lo lắng
worth	đáng
would	sẽ
wound	quấn
wrap	bọc
write	ghi
writer	tác giả
writing	viết
wrong	sai
yard	sân
yeah	vâng
year	năm
yell	hét lên
yellow	vàng
yes	có
yesterday	ngày hôm qua
yet	chưa
yield	mang lại
you	bạn
young	trẻ
your	của bạn
yours	của bạn
yourself	mình
youth	giới trẻ
zone	khu vực
